token,class,n_occurrences,verdict,rule
each.2,other,1,strip,strip
eel17ameu01,word_embedded,1,keep_name,keep_name
energy7,word_embedded,1,strip,strip
enervit10,word_embedded,1,strip,strip
fellow123,word_embedded,1,strip,strip
filtration16.,word_embedded,1,strip,strip
fr1100,word_embedded,1,strip,strip
fr1101,word_embedded,1,strip,strip
fr1102,word_embedded,1,strip,strip
fr1107,word_embedded,1,strip,strip
fr1109,word_embedded,1,strip,strip
frenormjod1emcoliver,word_embedded,1,keep_name,keep_name
fs249,word_embedded,1,strip,strip
fs251,word_embedded,1,strip,strip
gewurzen275,word_embedded,1,strip,strip
gluten750ml,word_embedded,1,strip,strip
gp27,word_embedded,1,strip,strip
gp2715,word_embedded,1,strip,strip
gp27with,word_embedded,1,strip,strip
h2coco,word_embedded,1,keep_brand,keep_brand
h307,word_embedded,1,strip,strip
hepar6,word_embedded,1,strip,strip
hollerstrauchsaft250,word_embedded,1,strip,strip
holunderblute275,word_embedded,1,strip,strip
honig750,word_embedded,1,strip,strip
hyjf88,word_embedded,1,strip,strip
id3977,word_embedded,1,strip,strip
inc.1.50,other,1,strip,strip
incl.0.32,other,1,strip,strip
isl1705,word_embedded,1,strip,strip
isl4418,word_embedded,1,strip,strip
jgd00703,word_embedded,1,strip,strip
js450,word_embedded,1,strip,strip
jw12,word_embedded,1,strip,strip
karotten250,word_embedded,1,strip,strip
khch00382107,word_embedded,1,strip,strip
kombucha500,word_embedded,1,strip,strip
krc1705,word_embedded,1,strip,strip
l8,word_embedded,1,strip,strip
latte330,word_embedded,1,strip,strip
litrex12,word_embedded,1,strip,strip
ls12,word_embedded,1,strip,strip
lt.1,other,1,strip,strip
lt1,word_embedded,1,strip,strip
m024283ew,word_embedded,1,strip,strip
m024861ew,word_embedded,1,strip,strip
mandari.8x50,word_embedded,1,keep_name,keep_name
maple3,word_embedded,1,strip,strip
ml1000,word_embedded,1,strip,strip
mlx12,word_embedded,1,strip,strip
mrk1847,word_embedded,1,strip,strip
mrk8721,word_embedded,1,strip,strip
mustikkakeitto1kg,word_embedded,1,strip,strip
naturalia1l,word_embedded,1,strip,strip
ncf36121,word_embedded,1,strip,strip
nfc3,word_embedded,1,strip,strip
nle100585,word_embedded,1,strip,strip
no.2,product_number,1,strip,strip
no.5,product_number,1,strip,strip
no13,word_embedded,1,strip,strip
o2life,word_embedded,1,keep_brand,keep_brand
o3,word_embedded,1,strip,strip
of12,word_embedded,1,strip,strip
omenamehutiiviste1,word_embedded,1,strip,strip
omenataysmehu100,word_embedded,1,strip,strip
orange1.,word_embedded,1,strip,strip
orange75cl,word_embedded,1,strip,strip
p3010,word_embedded,1,strip,strip
pack12,word_embedded,1,strip,strip
pet1.,word_embedded,1,strip,strip
pk24,word_embedded,1,strip,strip
pkx6,word_embedded,1,strip,strip
plate1,word_embedded,1,strip,strip
pm49p,word_embedded,1,strip,strip
pnapl25oz,word_embedded,1,strip,strip
protein20,word_embedded,1,strip,strip
pure6,word_embedded,1,strip,strip
q10,word_embedded,1,strip,strip
re32and,word_embedded,1,strip,strip
red14,word_embedded,1,strip,strip
red24,word_embedded,1,strip,strip
sanddorn250,word_embedded,1,strip,strip
sch4,word_embedded,1,strip,strip
se33,word_embedded,1,strip,strip
selleriesaft300,word_embedded,1,strip,strip
sgm1058,word_embedded,1,strip,strip
sgm3749,word_embedded,1,strip,strip
shot4x100ml...,word_embedded,1,keep_name,keep_name
so1,word_embedded,1,strip,strip
svu1705,word_embedded,1,strip,strip
svu4418,word_embedded,1,strip,strip
syrups750ml,word_embedded,1,strip,strip
t3,word_embedded,1,strip,strip
tango100,word_embedded,1,strip,strip
taste12,word_embedded,1,strip,strip
tde1001,word_embedded,1,strip,strip
tr6,word_embedded,1,strip,strip
traubensaft250,word_embedded,1,strip,strip
tray24,word_embedded,1,strip,strip
tylr8075017,word_embedded,1,strip,strip
tylr80823117,word_embedded,1,strip,strip
uliveto75,word_embedded,1,strip,strip
umf10,word_embedded,1,strip,strip
v0parentv3,word_embedded,1,strip,strip
v2,word_embedded,1,strip,strip
v8,word_embedded,1,strip,strip
vera12,word_embedded,1,strip,strip
verde1,word_embedded,1,strip,strip
verde330,word_embedded,1,strip,strip
vesimelonimehujuoma1l,word_embedded,1,strip,strip
virvoitusjuoma0.,word_embedded,1,strip,strip
water44,word_embedded,1,strip,strip
wcfrasp6,word_embedded,1,strip,strip
whole30,word_embedded,1,strip,strip
wic39923,word_embedded,1,strip,strip
worms12,word_embedded,1,strip,strip
x1,multiplier,1,strip,strip
x1l,multiplier,1,strip,strip
x20,multiplier,1,strip,strip
x250ml,multiplier,1,strip,strip
x2pcs,multiplier,1,strip,strip
x60,multiplier,1,strip,strip
xl10,word_embedded,1,strip,strip
ylt1705,word_embedded,1,strip,strip
ylt4418,word_embedded,1,strip,strip
yu4,word_embedded,1,strip,strip
